Id,Title,Url,Location,Keyword,View_Count,File_Title
1961475,협재 해수욕장,http://tong.visitkorea.or.kr/cms2/website/75/1961475.jpg,제주도 제주시,"2014 제42회 대한민국 관광사진 공모전, 입선, 협재해수욕장, 협재, 제주도 협재해수욕장, 해수욕장, 제주도, 여름, 바다",106361,협재 해수욕장
1963901,짱뚱어다리,http://tong.visitkorea.or.kr/cms2/website/01/1963901.jpg,전라남도 신안군,"짱뚱어다리, 갯벌, 전남신안, 다리, 우전해수욕장, 전라남도 신안군, 전라남도신안군",326,우전해수
2673869,목포 해상케이블카,http://tong.visitkorea.or.kr/cms2/website/69/2673869.jpg,전라남도 목포시 달동,"목포 해상케이블카 야경, 전라남도 목포시, 목포대교 야경",268,목포 해상케이블카
2820084,고하도 전망대,http://tong.visitkorea.or.kr/cms2/website/84/2820084.jpg,전라남도 목포시 달동,"고하도 전망대, 전라남도 목포시, 목포 전망대, 드라마 촬영지, 꼰대인턴 촬영지, 목포대교, 드론촬영, 드론사진, 항공촬영",172,고하도 전망대
1882936,천리포해수욕장,http://tong.visitkorea.or.kr/cms2/website/36/1882936.jpg,충청남도 태안군,"천리포해수욕장, 천리포해변, 일몰, 충청남도 태안군, 충청남도태안군",154,천리포해수욕장
1578691,서울야경,http://tong.visitkorea.or.kr/cms2/website/91/1578691.jpg,서울 63빌딩,"서울야경, 도시, 빌딩, 밤, 한강, 한강철교, 한강대교, 노들섬, 다리, 서울, 야경",1150,용산 한강철교
1805676,우도,http://tong.visitkorea.or.kr/cms2/website/76/1805676.jpg,제주도 우도면,"제주도, 우도, 우도등대",366,우도등대
1925991,청산도슬로우걷기축제,http://tong.visitkorea.or.kr/cms2/website/91/1925991.jpg,전라남도 완도,"청산도슬로우걷기축제, 슬로우걷기축제, 슬로시티, 청산도, 슬로길, 전라남도 완도, 전라남도완도",8941,완도
1925364,완도항,http://tong.visitkorea.or.kr/cms2/website/64/1925364.jpg,전라남도 완도,"완도항, 완도항 야경, 완도 야경, 야경, 전라남도 완도, 전라남도완도",427,완도항
1925789,청산도 구들장논 체험장,http://tong.visitkorea.or.kr/cms2/website/89/1925789.jpg,전라남도 완도,"청산도 구들장논, 구들장논, 청산도, 부흥리, 국가중요농업유산1호, 구들장논 체험장 , 전라남도 완도, 전라남도완도",327,완도
1925632,한일 카훼리3호,http://tong.visitkorea.or.kr/cms2/website/32/1925632.jpg,전라남도 완도,"한일 카훼리3호, 카훼리호, 완도 여객선, 여객선, 전라남도 완도군, 전라남도완도군",269,완도
